<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.05.23	1.28524	1.29564	1.28210	1.29325	115019	0	1
2013.05.24	1.29323	1.29932	1.29042	1.29304	94162	0	1
2013.05.26	1.29325	1.29392	1.29324	1.29355	635	0	2
2013.05.27	1.29355	1.29482	1.29151	1.29328	51834	0	1
2013.05.28	1.29328	1.29493	1.28491	1.28519	101690	0	1
2013.05.29	1.28520	1.29772	1.28373	1.29395	116805	0	1
2013.05.30	1.29393	1.30611	1.29331	1.30454	124293	0	1
2013.05.31	1.30453	1.30590	1.29438	1.29965	120616	0	1
2013.06.02	1.29918	1.29965	1.29841	1.29900	521	0	1
2013.06.03	1.29900	1.31073	1.29551	1.30693	105676	0	1
2013.06.04	1.30697	1.31009	1.30417	1.30815	99728	0	1
2013.06.05	1.30813	1.31151	1.30528	1.30918	122709	0	1
2013.06.06	1.30918	1.32994	1.30748	1.32388	149641	0	1
2013.06.07	1.32386	1.32848	1.31911	1.32158	163469	0	1
2013.06.09	1.31884	1.32028	1.31861	1.31982	2293	0	13
2013.06.10	1.32035	1.32686	1.31772	1.32554	95785	0	1
2013.06.11	1.32555	1.33170	1.32316	1.33127	139003	0	1
2013.06.12	1.33126	1.33589	1.32651	1.33376	120108	0	1
2013.06.13	1.33376	1.33897	1.32781	1.33726	135644	0	1
2013.06.14	1.33724	1.33728	1.32942	1.33443	104030	0	1
2013.06.16	1.33465	1.33492	1.33435	1.33488	325	0	2
2013.06.17	1.33489	1.33811	1.33179	1.33622	73687	0	1
2013.06.18	1.33623	1.34154	1.33253	1.33938	95700	0	1
2013.06.19	1.33938	1.34164	1.32617	1.32956	105350	0	1
2013.06.20	1.32956	1.33016	1.31611	1.32252	128593	0	1
2013.06.21	1.32266	1.32538	1.30981	1.31195	124186	0	1
2013.06.23	1.30850	1.31070	1.30850	1.31016	855	0	8
2013.06.24	1.31016	1.31437	1.30588	1.31230	128425	0	1
2013.06.25	1.31234	1.31503	1.30647	1.30818	111114	0	1
2013.06.26	1.30819	1.30870	1.29844	1.30070	110285	0	1
2013.06.27	1.30071	1.30558	1.29998	1.30361	94069	0	1
2013.06.28	1.30361	1.31029	1.29909	1.30074	101053	0	1
2013.06.30	1.30137	1.30154	1.30080	1.30119	481	0	1
2013.07.01	1.30128	1.30706	1.30050	1.30614	81744	0	1
2013.07.02	1.30613	1.30777	1.29630	1.29813	88514	0	1
2013.07.03	1.29811	1.30317	1.29228	1.30082	100159	0	1
2013.07.04	1.30078	1.30227	1.28822	1.29123	86556	0	1
2013.07.05	1.29116	1.29154	1.28057	1.28272	102427	0	1
2013.07.07	1.28088	1.28235	1.28088	1.28229	942	0	1
2013.07.08	1.28228	1.28815	1.28113	1.28676	71822	0	1
2013.07.09	1.28675	1.28979	1.27550	1.27849	93933	0	1
2013.07.10	1.27850	1.30239	1.27645	1.30211	128920	0	1
2013.07.11	1.30171	1.32063	1.30051	1.30937	207574	0	1
2013.07.12	1.30934	1.30996	1.29988	1.30656	100049	0	1
2013.07.14	1.30773	1.30773	1.30614	1.30664	385	0	7
2013.07.15	1.30654	1.30787	1.29928	1.30656	65494	0	1
2013.07.16	1.30654	1.31742	1.30498	1.31526	86032	0	1
