<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.05.23	62597	62597	61659	62345	276127	3273626550	0
2011.05.24	62350	63415	62350	63337	313463	3844476289	0
2011.05.25	63329	63857	63025	63388	291921	3455080529	0
2011.05.26	63389	64121	63232	64099	337020	5240656346	0
2011.05.27	64101	64548	64092	64295	268230	3787685274	0
2011.05.30	64295	64460	63915	63954	102600	1206427537	0
2011.05.31	63961	64620	63932	64620	349349	5093188952	0
2011.06.01	64616	64674	63401	63411	343892	4661647377	0
2011.06.02	63411	64218	63277	64218	365113	4523717288	0
2011.06.03	64216	64979	63628	64341	343045	4756939839	0
2011.06.06	64341	64512	62960	63068	305784	3769714592	0
2011.06.07	63072	63784	63072	63218	336648	4451540223	0
2011.06.08	63204	63354	62709	63033	269316	3965517289	0
2011.06.09	63037	63773	62872	63469	273674	4174013748	0
2011.06.10	63470	63478	62495	62697	270524	3792885457	0
2011.06.13	62701	62968	62022	62023	227176	3035177764	0
2011.06.14	62023	62697	62023	62205	240710	3723230020	0
2011.06.15	62198	62198	61448	61604	450811	5200341310	0
2011.06.16	61602	62040	60489	60881	335426	4198531334	0
2011.06.17	60883	61268	60566	61060	309611	4036656053	0
2011.06.20	61059	61571	60784	61168	296701	3950316391	0
2011.06.21	61188	61543	61179	61424	245447	3432261346	0
2011.06.22	61420	61859	61194	61194	283397	4074251228	0
2011.06.24	61192	61459	60921	61017	288951	3087333155	0
2011.06.27	61017	61456	60772	61217	247992	3352280618	0
2011.06.28	61216	62309	61216	62303	314764	4040785989	0
2011.06.29	62303	62625	62033	62334	312800	5114283242	0
2011.06.30	62337	62574	61959	62404	254087	3938301659	0
2011.07.01	62404	63455	62148	63394	348785	5519544440	0
2011.07.04	63397	63891	63314	63891	145136	1848898245	0
2011.07.05	63886	63886	63030	63039	333959	3691016029	0
2011.07.06	63039	63039	62391	62565	235585	3327668041	0
2011.07.07	62573	63206	62207	62207	283881	3893204838	0
2011.07.08	62207	62207	61366	61513	284023	3623443624	0
2011.07.11	61502	61502	60098	60224	275730	3784385147	0
2011.07.12	60220	60516	59705	59705	313860	4203798483	0
2011.07.13	59718	60847	59718	60670	312303	5084418456	0
2011.07.14	60673	60685	59452	59679	336344	5067897166	0
2011.07.15	59679	60104	59180	59478	278641	4125670293	0
2011.07.18	59479	59479	58631	58838	296836	4441971525	0
2011.07.19	58838	59394	58677	59082	290909	3862108696	0
2011.07.20	59094	59552	59045	59120	305645	3856793415	0
2011.07.21	59120	60441	59120	60263	352252	4315792168	0
2011.07.22	60263	60696	60077	60270	302548	3674261551	0
2011.07.25	60264	60285	59640	59971	281914	3523744606	0
2011.07.26	59972	60204	59261	59340	343939	4523716278	0
2011.07.27	59336	59336	58169	58288	449800	5033098777	0
2011.07.28	58297	59167	58290	58698	379603	4502476925	0
