<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.04	10:00:00	99706	101043	99706	100766	153953	2038950706	0
2019.09.04	11:00:00	100762	101021	100611	100852	151084	1501350989	0
2019.09.04	12:00:00	100872	100943	100564	100632	131144	1080683298	0
2019.09.04	13:00:00	100687	100964	100687	100903	122664	971204908	0
2019.09.04	14:00:00	100877	100935	100452	100452	114083	913158836	0
2019.09.04	15:00:00	100435	100883	100374	100872	148003	1910639481	0
2019.09.04	16:00:00	100874	101201	100852	101201	201338	2663127541	0
2019.09.05	10:00:00	101204	102703	101204	102581	178387	2506095566	0
2019.09.05	11:00:00	102566	103259	102566	102907	201451	2756334620	0
2019.09.05	12:00:00	102899	103017	102832	102877	153806	1547701746	0
2019.09.05	13:00:00	102884	102927	102714	102847	125705	977435480	0
2019.09.05	14:00:00	102903	102975	102590	102626	136762	1135786445	0
2019.09.05	15:00:00	102632	102633	102281	102386	150027	1427060254	0
2019.09.05	16:00:00	102381	102477	102240	102243	177014	2620559614	0
2019.09.06	10:00:00	102247	102939	102246	102824	138593	1879099333	0
2019.09.06	11:00:00	102813	102946	102423	102533	142387	1659975423	0
2019.09.06	12:00:00	102532	103182	102532	103026	147599	1565059124	0
2019.09.06	13:00:00	103036	103159	102762	102877	106627	932216309	0
2019.09.06	14:00:00	102866	103134	102859	103096	106402	1125240561	0
2019.09.06	15:00:00	103076	103077	102651	102728	121011	1044025150	0
2019.09.06	16:00:00	102730	102999	102710	102935	155590	2382760219	0
2019.09.09	10:00:00	102937	103683	102937	103503	154245	1893323224	0
2019.09.09	11:00:00	103489	104184	103482	103933	202674	2305382772	0
2019.09.09	12:00:00	103891	104260	103856	103952	186245	1703469788	0
2019.09.09	13:00:00	103960	103986	103072	103414	176590	1598363366	0
2019.09.09	14:00:00	103409	103475	103130	103395	171704	1421795156	0
2019.09.09	15:00:00	103373	103373	102793	102912	201490	1712980286	0
2019.09.09	16:00:00	102922	103182	102910	103181	283118	4106381730	0
2019.09.10	10:00:00	103180	103443	102489	102736	221878	2560960106	0
2019.09.10	11:00:00	102786	102789	102231	102713	214187	2063893803	0
2019.09.10	12:00:00	102730	103504	102629	103332	196860	1881214492	0
2019.09.10	13:00:00	103306	103451	103187	103334	167339	1415933371	0
2019.09.10	14:00:00	103314	103325	102710	102746	163666	1420894162	0
2019.09.10	15:00:00	102736	102783	102580	102670	178290	1489308973	0
2019.09.10	16:00:00	102655	103032	102621	103032	212698	2769199320	0
2019.09.11	10:00:00	103036	103999	103036	103901	180582	2626372007	0
2019.09.11	11:00:00	103881	104156	103797	103914	173515	2010287107	0
2019.09.11	12:00:00	103906	103909	103439	103461	133840	1552842905	0
2019.09.11	13:00:00	103448	103531	103181	103364	113550	1159596225	0
2019.09.11	14:00:00	103346	103650	103316	103421	117602	993186427	0
2019.09.11	15:00:00	103420	103515	103285	103406	130167	1222416925	0
2019.09.11	16:00:00	103425	103593	103385	103446	204546	3313457791	0
2019.09.12	10:00:00	103453	104305	103453	103930	177747	2492439276	0
2019.09.12	11:00:00	103918	104485	103712	103885	222525	2840938561	0
2019.09.12	12:00:00	103884	104618	103845	104614	134864	1463556574	0
2019.09.12	13:00:00	104593	104604	104311	104401	117110	1084105387	0
2019.09.12	14:00:00	104413	104515	104329	104436	128970	1108746407	0
2019.09.12	15:00:00	104434	104534	104288	104485	146289	1358467895	0
2019.09.12	16:00:00	104483	104538	104335	104371	187465	2826464534	0
2019.09.13	10:00:00	104371	104699	104349	104432	135906	2093901147	0
2019.09.13	11:00:00	104460	104595	104277	104514	140716	1578960596	0
2019.09.13	12:00:00	104496	104497	104164	104228	119344	1212634291	0
2019.09.13	13:00:00	104223	104248	103949	104021	109180	995818484	0
2019.09.13	14:00:00	104025	104191	103952	104014	122494	1089105227	0
2019.09.13	15:00:00	104019	104079	103721	103768	136942	1306072509	0
2019.09.13	16:00:00	103776	103776	103275	103501	233019	2853993951	0
2019.09.16	10:00:00	103496	103713	102782	103214	166335	3010583516	0
2019.09.16	11:00:00	103201	103755	103046	103491	182440	2394971542	0
2019.09.16	12:00:00	103455	104005	103428	103845	184390	2068394321	0
2019.09.16	13:00:00	103801	103879	103679	103711	130253	1680560786	0
2019.09.16	14:00:00	103712	103763	103498	103600	138650	1373566923	0
2019.09.16	15:00:00	103578	103673	103384	103505	160426	1686060084	0
2019.09.16	16:00:00	103528	103680	103094	103680	223885	4066403671	0
2019.09.17	10:00:00	103680	103682	103079	103570	161743	2102415238	0
2019.09.17	11:00:00	103535	103753	103366	103513	149526	1610642190	0
2019.09.17	12:00:00	103492	104213	103492	104148	142262	1486194236	0
2019.09.17	13:00:00	104200	104277	104104	104191	110323	1103535990	0
2019.09.17	14:00:00	104194	104360	104010	104360	118049	1156211957	0
2019.09.17	15:00:00	104363	104530	104318	104319	167120	1773789425	0
2019.09.17	16:00:00	104321	104619	104248	104617	204155	3260303027	0
2019.09.18	10:00:00	104616	104762	104317	104425	533411	7261270457	0
2019.09.18	11:00:00	104355	104517	104224	104262	610287	6601900690	0
2019.09.18	12:00:00	104265	104335	104125	104134	508648	4985973590	0
